codigo_ibge_municipio,municipio,ano_safra,area_plantada_ha,area_colhida_ha,producao_ton,rendimento_kg_ha,codigo_estacao,dist_km,precipitacao_total_safra_mm,precipitacao_dias_com_dado,temperatura_media_safra_c,oni_media_safra
4300034,Aceguá - RS,2000,,,,,,,,,,-1.365
4300034,Aceguá - RS,2001,100.0,100.0,126.0,1260.0,,,,,,-1.045
4300034,Aceguá - RS,2002,100.0,100.0,126.0,1260.0,,,,,,-0.405
4300034,Aceguá - RS,2003,750.0,750.0,945.0,1260.0,,,,,,0.21
4300034,Aceguá - RS,2004,750.0,750.0,945.0,1260.0,,,,,,0.72
4300034,Aceguá - RS,2005,2000.0,2000.0,480.0,240.0,,,,,,0.4375
4300034,Aceguá - RS,2006,2000.0,2000.0,2400.0,1200.0,,,,,,-0.07750000000000001
4300034,Aceguá - RS,2007,2000.0,2000.0,3160.0,1580.0,A827,59.36141918918144,261.2,85.0,22.844186046511627,-0.14499999999999996
4300034,Aceguá - RS,2008,2000.0,2000.0,3480.0,1740.0,A827,59.36141918918144,537.8,182.0,21.111538461538462,-0.4025
4300034,Aceguá - RS,2009,2100.0,2100.0,3675.0,1750.0,A827,59.36141918918144,554.4,182.0,20.935164835164834,-1.255
4300034,Aceguá - RS,2010,2100.0,2100.0,3675.0,1750.0,A827,59.36141918918144,1101.2,180.0,21.339444444444442,0.32999999999999996
4300034,Aceguá - RS,2011,5000.0,5000.0,12000.0,2400.0,A827,59.36141918918144,359.2,180.0,21.155,0.11499999999999999
4300034,Aceguá - RS,2012,8000.0,5600.0,8176.0,1460.0,A827,59.36141918918144,501.2,183.0,21.112021857923498,-1.08
4300034,Aceguá - RS,2013,15000.0,15000.0,31500.0,2100.0,A827,59.36141918918144,770.6,181.0,21.088333333333335,-0.615
4300034,Aceguá - RS,2014,18000.0,18000.0,41400.0,2300.0,A827,59.36141918918144,1219.4,182.0,21.33131868131868,-0.0875
4300034,Aceguá - RS,2015,25000.0,25000.0,58150.0,2326.0,A827,59.36141918918144,923.6,182.0,21.49285714285714,0.2875
4300034,Aceguá - RS,2016,25000.0,20000.0,50000.0,2500.0,A827,59.36141918918144,1114.2,183.0,20.769945355191258,1.5525
4300034,Aceguá - RS,2017,20000.0,20000.0,50000.0,2500.0,A827,59.36141918918144,565.2,162.0,21.367283950617285,1.26
4300034,Aceguá - RS,2018,25000.0,15000.0,30000.0,2000.0,A827,59.36141918918144,554.4,182.0,21.237362637362637,-0.56
4300034,Aceguá - RS,2019,25000.0,25000.0,52500.0,2100.0,A827,59.36141918918144,768.0,170.0,21.427647058823528,0.13999999999999999
4300034,Aceguá - RS,2020,25000.0,25000.0,26250.0,1050.0,A827,59.36141918918144,712.6,183.0,21.889071038251366,0.865
4300034,Aceguá - RS,2021,25000.0,25000.0,63000.0,2520.0,A827,59.36141918918144,680.4,182.0,20.837912087912088,-0.0925
4300034,Aceguá - RS,2022,30000.0,30000.0,48750.0,1625.0,A827,59.36141918918144,458.0,182.0,21.338461538461537,-0.9025000000000001
4300034,Aceguá - RS,2023,28000.0,28000.0,35000.0,1250.0,A827,59.36141918918144,496.4,182.0,22.054395604395605,-0.655
4300109,Agudo - RS,2000,,,,,,,,,,-1.365
4300109,Agudo - RS,2001,,,,,,,,,,-1.045
4300109,Agudo - RS,2002,,,,,A803,46.18303118189153,4.4,121.0,23.845901639344262,-0.405
4300109,Agudo - RS,2003,,,,,A803,46.18303118189153,70.2,143.0,22.976223776223776,0.21
4300109,Agudo - RS,2004,,,,,A803,46.18303118189153,957.6,166.0,21.991463414634147,0.72
4300109,Agudo - RS,2005,,,,,A803,46.18303118189153,491.6,166.0,22.27409638554217,0.4375
4300109,Agudo - RS,2006,,,,,A803,46.18303118189153,755.0,173.0,22.504651162790697,-0.07750000000000001
4300109,Agudo - RS,2007,,,,,A803,46.18303118189153,891.2,179.0,22.916292134831462,-0.14499999999999996
4300109,Agudo - RS,2008,20.0,20.0,48.0,2400.0,A803,46.18303118189153,749.8,179.0,22.272067039106144,-0.4025
4300109,Agudo - RS,2009,70.0,70.0,134.0,1914.0,A803,46.18303118189153,743.2,182.0,22.217032967032967,-1.255
4300109,Agudo - RS,2010,150.0,150.0,315.0,2100.0,A803,46.18303118189153,1469.2,179.0,22.975977653631283,0.32999999999999996
4300109,Agudo - RS,2011,150.0,150.0,405.0,2700.0,A803,46.18303118189153,675.6,180.0,22.14388888888889,0.11499999999999999
4300109,Agudo - RS,2012,300.0,300.0,450.0,1500.0,A803,46.18303118189153,632.8,183.0,22.96120218579235,-1.08
4300109,Agudo - RS,2013,400.0,400.0,1120.0,2800.0,A803,46.18303118189153,1127.8,181.0,22.65888888888889,-0.615
4300109,Agudo - RS,2014,600.0,600.0,1800.0,3000.0,A803,46.18303118189153,1023.4,182.0,23.29065934065934,-0.0875
4300109,Agudo - RS,2015,700.0,700.0,2394.0,3420.0,A803,46.18303118189153,962.6,152.0,23.213636363636365,0.2875
4300109,Agudo - RS,2016,850.0,830.0,2490.0,3000.0,A803,46.18303118189153,1457.6,183.0,21.97814207650273,1.5525
4300109,Agudo - RS,2017,900.0,900.0,2790.0,3100.0,A803,46.18303118189153,1420.8,182.0,21.910989010989013,1.26
4300109,Agudo - RS,2018,850.0,850.0,2550.0,3000.0,A803,46.18303118189153,829.0,182.0,22.506043956043957,-0.56
4300109,Agudo - RS,2019,950.0,950.0,2830.0,2979.0,A803,46.18303118189153,901.0,182.0,22.7978021978022,0.13999999999999999
4300109,Agudo - RS,2020,1000.0,1000.0,720.0,720.0,A803,46.18303118189153,980.0,182.0,23.306010928961747,0.865
