codigo_ibge_municipio,municipio,ano_safra,area_plantada_ha,area_colhida_ha,producao_ton,rendimento_kg_ha
4300034,Aceguá - RS,2000,,,,
4300034,Aceguá - RS,2001,100.0,100.0,126.0,1260.0
4300034,Aceguá - RS,2002,100.0,100.0,126.0,1260.0
4300034,Aceguá - RS,2003,750.0,750.0,945.0,1260.0
4300034,Aceguá - RS,2004,750.0,750.0,945.0,1260.0
4300034,Aceguá - RS,2005,2000.0,2000.0,480.0,240.0
4300034,Aceguá - RS,2006,2000.0,2000.0,2400.0,1200.0
4300034,Aceguá - RS,2007,2000.0,2000.0,3160.0,1580.0
4300034,Aceguá - RS,2008,2000.0,2000.0,3480.0,1740.0
4300034,Aceguá - RS,2009,2100.0,2100.0,3675.0,1750.0
4300034,Aceguá - RS,2010,2100.0,2100.0,3675.0,1750.0
4300034,Aceguá - RS,2011,5000.0,5000.0,12000.0,2400.0
4300034,Aceguá - RS,2012,8000.0,5600.0,8176.0,1460.0
4300034,Aceguá - RS,2013,15000.0,15000.0,31500.0,2100.0
4300034,Aceguá - RS,2014,18000.0,18000.0,41400.0,2300.0
4300034,Aceguá - RS,2015,25000.0,25000.0,58150.0,2326.0
4300034,Aceguá - RS,2016,25000.0,20000.0,50000.0,2500.0
4300034,Aceguá - RS,2017,20000.0,20000.0,50000.0,2500.0
4300034,Aceguá - RS,2018,25000.0,15000.0,30000.0,2000.0
4300034,Aceguá - RS,2019,25000.0,25000.0,52500.0,2100.0
4300034,Aceguá - RS,2020,25000.0,25000.0,26250.0,1050.0
4300034,Aceguá - RS,2021,25000.0,25000.0,63000.0,2520.0
4300034,Aceguá - RS,2022,30000.0,30000.0,48750.0,1625.0
4300034,Aceguá - RS,2023,28000.0,28000.0,35000.0,1250.0
4300034,Aceguá - RS,2024,32000.0,32000.0,36288.0,1134.0
4300034,Aceguá - RS,2025,31500.0,31500.0,71820.0,2280.0
4300109,Agudo - RS,2000,,,,
4300109,Agudo - RS,2001,,,,
4300109,Agudo - RS,2002,,,,
4300109,Agudo - RS,2003,,,,
4300109,Agudo - RS,2004,,,,
4300109,Agudo - RS,2005,,,,
4300109,Agudo - RS,2006,,,,
4300109,Agudo - RS,2007,,,,
4300109,Agudo - RS,2008,20.0,20.0,48.0,2400.0
4300109,Agudo - RS,2009,70.0,70.0,134.0,1914.0
4300109,Agudo - RS,2010,150.0,150.0,315.0,2100.0
4300109,Agudo - RS,2011,150.0,150.0,405.0,2700.0
4300109,Agudo - RS,2012,300.0,300.0,450.0,1500.0
4300109,Agudo - RS,2013,400.0,400.0,1120.0,2800.0
4300109,Agudo - RS,2014,600.0,600.0,1800.0,3000.0
4300109,Agudo - RS,2015,700.0,700.0,2394.0,3420.0
4300109,Agudo - RS,2016,850.0,830.0,2490.0,3000.0
4300109,Agudo - RS,2017,900.0,900.0,2790.0,3100.0
4300109,Agudo - RS,2018,850.0,850.0,2550.0,3000.0
4300109,Agudo - RS,2019,950.0,950.0,2830.0,2979.0
4300109,Agudo - RS,2020,1000.0,1000.0,720.0,720.0
4300109,Agudo - RS,2021,1000.0,1000.0,3500.0,3500.0
4300109,Agudo - RS,2022,1500.0,1500.0,2700.0,1800.0
4300109,Agudo - RS,2023,1500.0,1500.0,1800.0,1200.0
4300109,Agudo - RS,2024,1500.0,1000.0,2100.0,2100.0
4300109,Agudo - RS,2025,1500.0,1500.0,2250.0,1500.0
4300208,Ajuricaba - RS,2000,18500.0,18500.0,27750.0,1500.0
4300208,Ajuricaba - RS,2001,17000.0,17000.0,40800.0,2400.0
4300208,Ajuricaba - RS,2002,18300.0,18300.0,29646.0,1620.0
4300208,Ajuricaba - RS,2003,19000.0,19000.0,49020.0,2580.0
4300208,Ajuricaba - RS,2004,19500.0,19500.0,23400.0,1200.0
4300208,Ajuricaba - RS,2005,20000.0,18000.0,8640.0,480.0
4300208,Ajuricaba - RS,2006,19000.0,19000.0,36480.0,1920.0
4300208,Ajuricaba - RS,2007,19000.0,19000.0,47880.0,2520.0
4300208,Ajuricaba - RS,2008,18500.0,18500.0,38850.0,2100.0
4300208,Ajuricaba - RS,2009,18500.0,18500.0,38850.0,2100.0
4300208,Ajuricaba - RS,2010,18500.0,18500.0,49950.0,2700.0
4300208,Ajuricaba - RS,2011,17000.0,17000.0,45900.0,2700.0
