Codigo Estacao;Nome Estacao;Latitude;Longitude;Altitude;Situacao;Arquivo
A801;PORTO ALEGRE - JARDIM BOTANICO;-30.05361111;-51.17472221;41.18;Operante;dados_A801_D_2000-09-21_2023-12-31.csv
A802;RIO GRANDE;-32.07888888;-52.16777777;4.92;Operante;dados_A802_D_2001-11-15_2023-12-31.csv
A803;SANTA MARIA;-29.72499999;-53.72055554;105;Operante;dados_A803_D_2001-11-25_2023-12-31.csv
A804;SANTANA DO LIVRAMENTO;-30.75055555;-55.40138888;196;Pane;dados_A804_D_2001-11-21_2023-12-31.csv
A805;SANTO AUGUSTO;-27.85444444;-53.7911111;489.67;Operante;dados_A805_D_2001-12-04_2023-12-31.csv
A808;TORRES;-29.35027777;-49.73333333;8.44;Desativada;dados_A808_D_2006-05-31_2023-12-31.csv
A809;URUGUAIANA;-29.83999999;-57.08194443;74.29;Pane;dados_A809_D_2006-09-27_2023-12-31.csv
A810;SANTA ROSA;-27.89055555;-54.47999999;272.84;Pane;dados_A810_D_2006-11-14_2023-12-31.csv
A811;CANGUCU;-31.40333333;-52.70083333;446.81;Operante;dados_A811_D_2007-01-23_2023-12-31.csv
A812;CACAPAVA DO SUL;-30.54527777;-53.46694443;420.82;Operante;dados_A812_D_2006-06-21_2023-12-31.csv
A813;RIO PARDO;-29.87222221;-52.38194443;106.99;Operante;dados_A813_D_2006-09-29_2023-12-31.csv
A826;ALEGRETE;-29.70916666;-55.52555554;121;Operante;dados_A826_D_2006-09-27_2023-12-31.csv
A827;BAGE;-31.34777777;-54.01333333;226.19;Operante;dados_A827_D_2007-01-03_2023-12-31.csv
A828;ERECHIM;-27.65777777;-52.30583333;777.08;Operante;dados_A828_D_2006-11-24_2023-12-31.csv
A829;SAO JOSE DOS AUSENTES;-28.7486111;-50.05777777;1228.59;Pane;dados_A829_D_2006-10-25_2023-12-31.csv
A830;SAO BORJA;-28.65;-56.01638888;79;Operante;dados_A830_D_2007-07-20_2023-12-31.csv
A831;QUARAI;-30.3686111;-56.43722221;103;Operante;dados_A831_D_2007-10-16_2023-12-31.csv
A832;SAO GABRIEL;-30.34138888;-54.31083333;114.89;Pane;dados_A832_D_2007-07-10_2023-12-31.csv
A833;SANTIAGO;-29.19166666;-54.88555555;390.03;Operante;dados_A833_D_2009-02-03_2023-12-31.csv
A834;TRAMANDAI;-30.01027777;-50.13583333;4.56;Operante;dados_A834_D_2008-03-08_2023-12-31.csv
A836;JAGUARAO;-32.53472221;-53.37583332;31.48;Operante;dados_A836_D_2007-01-08_2023-12-31.csv
A837;SOLEDADE;-28.85916666;-52.54249999;660.44;Pane;dados_A837_D_2008-02-29_2023-12-31.csv
A838;CAMAQUA;-30.80805555;-51.83416666;92.3;Operante;dados_A838_D_2006-12-11_2023-12-31.csv
A839;PASSO FUNDO;-28.22666666;-52.40361111;680.67;Operante;dados_A839_D_2006-11-26_2023-12-31.csv
A840;BENTO GONCALVES;-29.16444444;-51.53416666;639;Operante;dados_A840_D_2006-11-30_2023-12-31.csv
A844;LAGOA VERMELHA;-28.22249999;-51.51277777;833.83;Pane;dados_A844_D_2007-03-01_2023-12-31.csv
A852;SAO LUIZ GONZAGA;-28.41722221;-54.9625;245.5;Operante;dados_A852_D_2007-07-24_2023-12-31.csv
A853;CRUZ ALTA;-28.60333333;-53.6736111;426.69;Operante;dados_A853_D_2007-05-30_2023-12-31.csv
A854;FREDERICO WESTPHALEN;-27.39555555;-53.42944443;489.42;Operante;dados_A854_D_2007-12-13_2023-12-31.csv
A856;PALMEIRA DAS MISSOES;-27.92027777;-53.31805554;614.11;Operante;dados_A856_D_2008-02-25_2023-12-31.csv
A878;TAVARES - FAROL DE MOSTARDAS;-31.24833333;-50.90638888;3.82;Pane;dados_A878_D_2008-03-10_2023-12-31.csv
A879;CANELA;-29.36888888;-50.82722221;830.93;Operante;dados_A879_D_2008-08-22_2023-12-31.csv
A880;VACARIA;-28.51361111;-50.88277777;969.89;Pane;dados_A880_D_2008-04-25_2023-12-31.csv
A881;DOM PEDRITO;-31.0025;-54.61805554;150;Pane;dados_A881_D_2010-04-22_2023-12-31.csv
A882;TEUTONIA;-29.44916666;-51.82333332;81;Operante;dados_A882_D_2012-10-03_2023-12-31.csv
A883;IBIRUBA;-28.65333333;-53.11194444;455.27;Operante;dados_A883_D_2012-12-12_2023-12-31.csv
A884;CAMPO BOM;-29.67416666;-51.06416666;23.35;Operante;dados_A884_D_2013-11-28_2023-12-31.csv
A886;TUPANCIRETA;-29.08944444;-53.82666666;462;Operante;dados_A886_D_2016-08-10_2023-12-31.csv
A887;CAPAO DO LEAO (PELOTAS);-31.8025;-52.40722222;13;Operante;dados_A887_D_2019-07-17_2023-12-31.csv
A889;SAO VICENTE DO SUL;-29.70222222;-54.69444444;134;Pane;dados_A889_D_2016-04-05_2023-12-31.csv
A893;ENCRUZILHADA DO SUL;-30.54305555;-52.52472221;427.75;Operante;dados_A893_D_2018-03-14_2023-12-31.csv
A894;SERAFINA CORREA;-28.70472222;-51.87083332;485.29;Pane;dados_A894_D_2016-03-31_2023-12-31.csv
A897;CAMBARA DO SUL;-29.04916666;-50.14972221;1017;Pane;dados_A897_D_2016-11-23_2023-12-31.csv
A899;SANTA VITORIA DO PALMAR - BARRA DO CHUI;-33.74222221;-53.37222221;7.41;Operante;dados_A899_D_2008-03-07_2023-12-31.csv
B807;PORTO ALEGRE- BELEM NOVO;-30.1861111;-51.17805554;3.3;Desativada;dados_B807_D_2022-12-07_2023-12-31.csv
