seas,ano,total_sst,oni_anom
DJF,1999,25.12,-1.51
JFM,1999,25.6,-1.25
FMA,1999,26.31,-0.93
MAM,1999,26.8,-0.8
AMJ,1999,26.94,-0.79
MJJ,1999,26.7,-0.84
JJA,1999,26.3,-0.9
JAS,1999,25.97,-0.94
ASO,1999,25.75,-1.0
SON,1999,25.55,-1.13
OND,1999,25.27,-1.35
NDJ,1999,25.06,-1.53
DJF,2000,25.17,-1.47
JFM,2000,25.59,-1.26
FMA,2000,26.26,-0.98
MAM,2000,26.79,-0.81
AMJ,2000,27.06,-0.67
MJJ,2000,26.92,-0.62
JJA,2000,26.73,-0.48
JAS,2000,26.52,-0.4
ASO,2000,26.33,-0.42
SON,2000,26.14,-0.54
OND,2000,25.87,-0.76
NDJ,2000,25.78,-0.78
DJF,2001,25.82,-0.76
JFM,2001,26.25,-0.54
FMA,2001,26.79,-0.43
MAM,2001,27.34,-0.29
AMJ,2001,27.59,-0.19
MJJ,2001,27.53,-0.08
JJA,2001,27.24,-0.05
JAS,2001,26.86,-0.13
ASO,2001,26.67,-0.15
SON,2001,26.52,-0.26
OND,2001,26.4,-0.33
NDJ,2001,26.32,-0.32
DJF,2002,26.46,-0.15
JFM,2002,26.86,0.07
FMA,2002,27.34,0.11
MAM,2002,27.78,0.15
AMJ,2002,28.08,0.3
MJJ,2002,28.05,0.45
JJA,2002,27.85,0.57
JAS,2002,27.62,0.63
ASO,2002,27.6,0.78
SON,2002,27.77,0.99
OND,2002,27.92,1.19
NDJ,2002,27.72,1.08
DJF,2003,27.51,0.9
JFM,2003,27.39,0.59
FMA,2003,27.61,0.38
MAM,2003,27.62,-0.01
AMJ,2003,27.6,-0.18
MJJ,2003,27.47,-0.13
JJA,2003,27.38,0.09
JAS,2003,27.13,0.14
ASO,2003,27.05,0.23
SON,2003,27.0,0.23
OND,2003,27.02,0.29
NDJ,2003,26.93,0.29
DJF,2004,26.95,0.34
JFM,2004,27.06,0.27
FMA,2004,27.41,0.19
MAM,2004,27.72,0.1
AMJ,2004,27.9,0.12
MJJ,2004,27.83,0.22
JJA,2004,27.67,0.39
JAS,2004,27.53,0.54
ASO,2004,27.4,0.58
SON,2004,27.38,0.61
OND,2004,27.37,0.64
NDJ,2004,27.34,0.71
DJF,2005,27.23,0.62
JFM,2005,27.35,0.55
FMA,2005,27.62,0.4
MAM,2005,27.99,0.37
AMJ,2005,28.05,0.27
MJJ,2005,27.7,0.09
JJA,2005,27.24,-0.04
JAS,2005,26.85,-0.14
ASO,2005,26.71,-0.11
SON,2005,26.5,-0.27
OND,2005,26.16,-0.57
NDJ,2005,25.86,-0.82
DJF,2006,25.83,-0.86
JFM,2006,26.11,-0.8
FMA,2006,26.71,-0.63
MAM,2006,27.28,-0.45
AMJ,2006,27.69,-0.19
MJJ,2006,27.63,-0.05
JJA,2006,27.45,0.12
JAS,2006,27.32,0.33
ASO,2006,27.34,0.54
SON,2006,27.47,0.71
OND,2006,27.6,0.88
NDJ,2006,27.55,0.88
DJF,2007,27.3,0.62
JFM,2007,27.1,0.19
FMA,2007,27.22,-0.12
MAM,2007,27.41,-0.32
AMJ,2007,27.54,-0.34
MJJ,2007,27.27,-0.41
JJA,2007,26.84,-0.49
JAS,2007,26.22,-0.77
ASO,2007,25.75,-1.05
SON,2007,25.38,-1.38
OND,2007,25.15,-1.57
NDJ,2007,24.95,-1.72
DJF,2008,24.92,-1.76
JFM,2008,25.29,-1.61
FMA,2008,25.97,-1.37
MAM,2008,26.69,-1.05
AMJ,2008,27.03,-0.85
MJJ,2008,27.13,-0.56
JJA,2008,26.99,-0.33
JAS,2008,26.78,-0.2
ASO,2008,26.55,-0.25
SON,2008,26.4,-0.36
OND,2008,26.15,-0.57
NDJ,2008,25.87,-0.79
DJF,2009,25.79,-0.89
JFM,2009,26.07,-0.84
FMA,2009,26.71,-0.63
MAM,2009,27.38,-0.35
AMJ,2009,27.91,0.03
MJJ,2009,28.03,0.34
JJA,2009,27.82,0.5
JAS,2009,27.55,0.56
ASO,2009,27.46,0.66
SON,2009,27.68,0.92
OND,2009,28.02,1.31
NDJ,2009,28.16,1.5
DJF,2010,28.15,1.47
JFM,2010,28.11,1.21
FMA,2010,28.22,0.88
MAM,2010,28.11,0.38
AMJ,2010,27.72,-0.16
MJJ,2010,27.03,-0.66
JJA,2010,26.34,-0.98
JAS,2010,25.74,-1.24
ASO,2010,25.37,-1.43
SON,2010,25.21,-1.54
OND,2010,25.14,-1.57
NDJ,2010,25.14,-1.48
DJF,2011,25.28,-1.29
JFM,2011,25.72,-1.06
FMA,2011,26.37,-0.85
MAM,2011,26.95,-0.68
AMJ,2011,27.29,-0.5
MJJ,2011,27.29,-0.34
JJA,2011,26.92,-0.37
JAS,2011,26.45,-0.5
ASO,2011,26.0,-0.76
SON,2011,25.77,-0.94
OND,2011,25.63,-1.02
NDJ,2011,25.64,-0.92
DJF,2012,25.84,-0.71
JFM,2012,26.22,-0.56
FMA,2012,26.79,-0.44
MAM,2012,27.29,-0.35
AMJ,2012,27.62,-0.18
MJJ,2012,27.66,0.03
JJA,2012,27.57,0.28
JAS,2012,27.35,0.39
ASO,2012,27.13,0.37
SON,2012,26.99,0.28
OND,2012,26.78,0.13
NDJ,2012,26.53,-0.03
DJF,2013,26.3,-0.24
JFM,2013,26.5,-0.28
FMA,2013,27.0,-0.23
MAM,2013,27.43,-0.2
AMJ,2013,27.49,-0.3
MJJ,2013,27.24,-0.38
JJA,2013,26.84,-0.45
